GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HelloWorld,ESII.HelloWorld,G14,11,23,0,0,3,10,1,5,1,5
HelloWorld,ESII.HelloWorld,App,7,0,0,0,3,0,2,0,2,0
